zip,county,averageBenefitperMeal,constituentStory,householdIncomeWithEarnedIncome,incomeEligible0To17,incomeEligible18To64,incomeEligible65Plus,incomeEligibleButNotReceiving0To17,incomeEligibleButNotReceiving18To64,incomeEligibleButNotReceiving65Plus,latitude,longitude,polygonCoords,recipientEthnicityHispanic,recipientEthnicityNonHispanic,recipientEthnicityUnknownMissing,recipientRaceAsian,recipientRaceBlack,recipientRaceMultiRace,recipientRaceNativeAmerican,recipientRacePacificIslander,recipientRaceUnknownMissing,recipientRaceWhite,recipients0To17,recipients18To64,recipients65Plus,totalIncomeEligibleButNotReceiving,totalIncomeEligibleIndividuals,totalSnapRecipients
73960,Sherman,1.1403662,,0.36018521,0,0,0,0,0,0,,,,5,18,1,0,0,0,0,0,3,21,17,6,2,0,0,24
75001,Dallas,1.3306725,,0.52312452,976,1394,117,456,1023,101,32.960098,-96.838203,"['-96.821879,32.954402', '-96.828477,32.947254', '-96.855971,32.933507', '-96.855971,32.953302', '-96.838925,32.987394', '-96.828477,32.987394', '-96.821879,32.954402']",426,400,81,9,217,2,4,2,301,372,520,371,16,1581,2487,906
75002,Collin,1.199174,,0.42909819,2424,3578,298,985,2568,106,33.088699,-96.606697,"['-96.636023,33.034133', '-96.683861,33.080872', '-96.658567,33.129811', '-96.540345,33.127611', '-96.533197,33.096818', '-96.594782,33.030834', '-96.636023,33.034133']",521,1786,336,160,658,15,29,8,616,1157,1439,1011,192,3658,6301,2642
75006,Dallas,1.2847505,,0.57617712,4451,5108,395,1004,3593,125,32.962399,-96.897301,"['-96.935152,32.936806', '-96.94175,32.988494', '-96.939001,32.988494', '-96.854871,32.987394', '-96.838925,32.987394', '-96.855971,32.953302', '-96.937901,32.913712', '-96.935152,32.936806']",3352,1429,452,214,656,11,24,7,2327,1996,3448,1515,270,4721,9954,5233
75007,Denton,1.2296202,,0.40849394,2502,3414,653,807,2369,327,,,,1021,1619,427,315,815,7,23,5,899,1003,1695,1045,326,3502,6570,3067
75009,Collin,1.145216,,0.49846202,358,751,283,100,589,267,,,,150,238,47,3,59,2,5,1,137,228,258,162,16,957,1391,435
75010,Denton,1.2383666,,0.33334088,762,1051,96,248,646,0,33.030899,-96.898804,"['-96.939001,33.00334', '-96.945049,33.029734', '-96.842774,33.055028', '-96.842774,33.053379', '-96.843324,33.025885', '-96.939001,33.00334']",167,730,148,188,379,2,8,0,183,285,514,405,126,864,1909,1045
75011,Dallas,1.1819341,,0.040476192,0,0,0,0,0,0,,,,3,4,2,1,3,0,0,0,2,2,3,4,1,0,0,8
75013,Collin,1.287403,,0.25928178,210,752,118,0,565,0,33.1143,-96.694603,"['-96.686611,33.075373', '-96.7328,33.125412', '-96.655818,33.153455', '-96.658567,33.129811', '-96.683861,33.080872', '-96.686611,33.075373']",48,357,133,80,99,6,2,3,122,227,217,187,135,542,1080,538
75014,Dallas,1.9945205,,0,0,0,0,0,0,0,,,,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2
75015,Dallas,1.4089732,,0.1450901,0,0,0,0,0,0,,,,4,12,3,0,6,0,0,0,4,8,1,14,3,0,0,18
75016,Dallas,1.3053988,,0.066071428,0,0,0,0,0,0,,,,4,3,2,0,3,0,0,0,2,4,3,5,1,0,0,9
75017,Dallas,1.4016743,,0.041666668,0,0,0,0,0,0,,,,1,3,2,0,2,0,0,0,1,3,1,3,2,0,0,6
75019,Dallas,1.2704618,,0.35529953,893,1331,87,468,1008,0,,,,240,478,137,87,193,2,7,2,237,328,426,323,107,1456,2312,855
75020,Grayson,1.1900356,,0.32900062,1762,2814,661,24,1177,442,33.7743,-96.6035,"['-96.572238,33.700576', '-96.60523,33.708274', '-96.64702,33.751164', '-96.597532,33.874884', '-96.571688,33.818798', '-96.532647,33.823197', '-96.532097,33.822647', '-96.572238,33.700576']",342,2693,560,17,560,21,35,2,596,2363,1738,1637,219,1643,5236,3594
75021,Grayson,1.175979,,0.35309997,700,1120,288,54,488,239,33.729698,-96.468498,"['-96.471611,33.685179', '-96.572238,33.700576', '-96.532097,33.822647', '-96.448517,33.780857', '-96.379233,33.72587', '-96.380333,33.693427', '-96.471611,33.685179']",99,1049,180,5,134,4,17,0,184,984,646,633,49,780,2109,1328
75022,Denton,1.3201684,,0.37432706,388,301,87,281,228,61,33.024899,-97.118896,"['-97.108361,32.985195', '-97.124307,32.987394', '-97.201839,33.054478', '-97.131455,33.063276', '-97.109461,33.054478', '-97.041827,32.984645', '-97.108361,32.985195']",77,92,35,14,8,0,0,0,67,116,107,73,25,571,775,205
75023,Collin,1.2248802,,0.38866115,1896,3624,645,537,2630,453,33.056301,-96.733498,"['-96.69046,33.066026', '-96.704206,33.037432', '-96.769641,33.041281', '-96.770191,33.056128', '-96.77239,33.072074', '-96.69046,33.066026']",519,1687,338,222,679,12,11,12,615,993,1359,994,192,3621,6165,2544
75024,Collin,1.212237,,0.21644673,426,1890,297,230,1688,176,,,,61,324,134,95,105,4,5,1,113,197,195,202,122,2094,2613,519
75025,Collin,1.2207055,,0.23027121,1259,2156,283,735,1691,3,33.090099,-96.739899,"['-96.767991,33.112215', '-96.733349,33.124862', '-96.7328,33.125412', '-96.686611,33.075373', '-96.69046,33.066026', '-96.77239,33.072074', '-96.767991,33.112215']",137,853,279,209,330,6,14,3,256,452,524,465,280,2429,3698,1269
75026,Collin,1.055773,,0,0,0,0,0,0,0,,,,0,2,3,2,0,0,0,0,1,2,0,1,3,0,0,5
75027,Denton,1.7030137,,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2
75028,Denton,1.2121048,,0.39231318,430,1183,164,78,932,112,33.0354,-97.061203,"['-97.109461,33.054478', '-97.044576,33.04953', '-97.02863,32.989594', '-97.041827,32.984645', '-97.109461,33.054478']",145,432,78,40,86,4,8,0,134,382,352,251,52,1123,1776,654
75029,Denton,1.5376185,,0.3125,0,0,0,0,0,0,,,,0,5,0,0,5,0,0,0,0,0,2,3,0,0,0,5
75030,Dallas,1.0993774,,0.084920637,0,0,0,0,0,0,,,,1,4,3,1,4,0,0,0,1,2,1,5,2,0,0,7
75032,Rockwall,1.2419771,,0.46698508,1019,1869,222,99,1354,149,32.858601,-96.419197,"['-96.5189,32.813635', '-96.5189,32.832881', '-96.5178,32.866973', '-96.510102,32.88017', '-96.418274,32.91921', '-96.312149,32.814185', '-96.380883,32.813635', '-96.5189,32.813635']",604,762,141,23,263,3,12,3,557,647,920,515,72,1602,3110,1508
75033,Denton,1.1615226,,0.311331,4463,5439,0,4311,5315,0,,,,30,230,41,19,83,6,4,0,61,128,152,125,25,9601,0,301
75034,Denton,1.2240571,,0.34674904,1607,2455,434,1410,2230,388,,,,146,230,57,28,78,0,2,0,128,197,224,163,46,4063,5869,433
