County,Post Office Location,Zip Code,Total  SNAP Households, Average Monthly SNAP Benefit per Household , Total Benefits Distributed 12/13 ,Total SNAP Recipients,Average Benefit per Recipient,Average Benefit per Meal ,Recipients 0-17,Recipients 18-64,Recipients 65+,Total Income-Eligible Individuals,Income-Eligible 0-17,Income-Eligible 18-64,Income-Eligible 65+,Total Income-Eligible but not Receiving ,Income-Eligible but not Receiving 0-17,Income-Eligible but not Receiving  18-64,Income-Eligible but not Receiving 65+,Total Participation Rate,Participation Rate 0-17,Participation Rate 18-64,Participation Rate 65+
Anderson,Tennessee Colony,75861,63, $253.48 ," $15,969.00 ",155, $103.03 , $1.14 ,77,66,12,402,120,226,56,247,43,160,44,39%,64%,29%,22%
Anderson,Palestine,75803,853, $263.47 ," $224,739.00 ",2059, $109.15 , $1.21 ,1067,880,112,4682,1589,2474,619,2623,522,1594,507,44%,67%,36%,18%
Anderson,Neches,75779,19, $195.42 ," $3,713.00 ",36, $103.14 , $1.15 ,14,19,3,30,13,17,0,0,0,0,0,100%,100%,100%,0%
Anderson,Montalba,75853,42, $182.31 ," $7,657.00 ",80, $95.71 , $1.06 ,34,33,13,387,99,247,41,307,65,214,28,21%,34%,13%,32%
Anderson,Elkhart,75839,285, $248.34 ," $70,777.00 ",636, $111.28 , $1.24 ,298,301,37,1585,356,1070,159,949,58,769,122,40%,84%,28%,23%
Anderson,Palestine,75801,1127, $254.85 ," $287,219.00 ",2607, $110.17 , $1.22 ,1342,1127,138,5087,1715,2606,766,2480,373,1479,628,51%,78%,43%,18%
Anderson,Palestine,75802,85, $183.71 ," $15,615.00 ",163, $95.80 , $1.06 ,73,72,18,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Anderson,Cayuga,75832,5, $182.60 , $913.00 ,8, $114.13 , $1.27 ,3,3,2,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Andrews,Andrews,79714,509, $283.08 ," $144,090.00 ",1277, $112.83 , $1.25 ,715,467,95,3093,1379,1230,484,1816,664,763,389,41%,52%,38%,20%
Angelina,Lufkin,75903,41, $149.88 ," $6,145.00 ",68, $90.37 , $1.00 ,20,40,8,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Angelina,Zavalla,75980,154, $226.29 ," $34,848.00 ",332, $104.96 , $1.17 ,142,164,26,566,97,353,116,279,0,189,90,59%,100%,46%,22%
Angelina,Huntington,75949,426, $228.29 ," $97,251.00 ",972, $100.05 , $1.11 ,446,453,73,1870,844,808,218,898,398,355,145,52%,53%,56%,34%
Angelina,Diboll,75941,534, $262.91 ," $140,396.00 ",1338, $104.93 , $1.17 ,785,481,72,2139,1138,855,146,801,353,374,74,63%,69%,56%,49%
Angelina,Lufkin,75902,78, $227.37 ," $17,735.00 ",168, $105.57 , $1.17 ,80,69,19,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Angelina,Lufkin,75901,1878, $262.28 ," $492,570.00 ",4609, $106.87 , $1.19 ,2659,1748,202,8612,3968,4024,619,4002,1309,2276,417,54%,67%,43%,33%
Angelina,Lufkin,75915,108, $211.61 ," $22,854.00 ",222, $102.95 , $1.14 ,97,110,15,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Angelina,Pollok,75969,153, $241.88 ," $37,007.00 ",340, $108.84 , $1.21 ,166,157,17,709,119,532,58,416,0,375,41,48%,100%,30%,29%
Angelina,Lufkin,75904,2107, $249.39 ," $525,468.00 ",5012, $104.84 , $1.16 ,2714,2056,242,8649,3243,4496,910,3637,529,2440,668,58%,84%,46%,27%
Aransas,Rockport,78381,163, $229.06 ," $37,337.00 ",353, $105.77 , $1.18 ,159,161,33,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Aransas,Fulton,78358,181, $178.75 ," $32,354.00 ",318, $101.74 , $1.13 ,113,163,42,245,63,177,5,14,0,14,0,100%,100%,92%,100%
Aransas,Rockport,78382,820, $236.97 ," $194,312.00 ",1795, $108.25 , $1.20 ,829,847,119,4945,1571,2604,771,3151,742,1757,652,36%,53%,33%,15%
Archer,Scotland,76379,12, $270.83 ," $3,250.00 ",28, $116.07 , $1.29 ,20,7,1,137,50,66,21,109,30,59,20,20%,40%,11%,5%
